popular,overall_trust,impact_accelerate,impact_open_access,impact_feedback,impact_collab,impact_eval_transform,impact_reduce_trad,neg_waste_time,neg_misuse,neg_llm_integrity,neg_cognition,neg_public_trust,read_preprints_monthly,read_reason_popularity,read_reason_timeliness,read_reason_authors,read_reason_metrics,read_reason_trust,noread_unpopularity,noread_untimeliness,noread_authors,noread_metrics,noread_quality,qual_design,qual_theory,qual_lit_review,qual_conclusion,qual_innovation,qual_significance,qual_ethics,qual_materials,qual_readability,cited_preprints,cite_reason_popularity,cite_reason_timeliness,cite_reason_authors,cite_reason_metrics,cite_reason_ethics,cite_reason_materials,cite_reason_trust,cite_reason_requirement,nocite_unpopularity,nocite_untimeliness,nocite_authors,nocite_metrics,nocite_ethics,nocite_materials,nocite_quality,nocite_irrelevance,nocite_discouraged,submitted_preprints,submit_open_reviews,submit_history,submit_visibility,submit_citations,submit_recommendation,submit_dissemination,submit_open_access,submit_disclose,nosubmit_recognition,nosubmit_discouraged,nosubmit_reputation,nosubmit_plagiarism,nosubmit_perception,nosubmit_collaborators,nosubmit_unaware,journal_require_preprint,dev_collab,dev_citations,dev_social_impact,dev_career,dev_funding,dev_pub_opportunity,dev_other,grant_included,grant_credit_received,grant_credit_should,grant_reviewer,grant_review_preprint_freq,grant_review_credit,hiring_committee,examined_preprints_freq,hiring_credit_job,hiring_credit_tenure,hiring_credit_should,gender,sector,acade_rank,country,race,field
Somewhat,Quite a bit,Somewhat,Extremely,A little,Not at all,Somewhat,Very,Not at all,Very,Extremely,Somewhat,Extremely,1 to 5,Somewhat,Slightly,Very,Very,Not at all,Not at all,Somewhat,Not at all,Not at all,Very,Good,Very good,Very good,Good,Very good,Fair,Very good,Fair,Very good,No,Not at all,Somewhat,Extremely,Not at all,Not at all,Extremely,Extremely,Slightly,Slightly,Not at all,Not at all,Not at all,Not at all,Somewhat,Extremely,Slightly,Not at all,1 to 5,Not at all,Extremely,Slightly,Not at all,Somewhat,Extremely,Slightly,Not at all,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely ,Neutral,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Very negative,No,Preprints receive less credit ,Preprints should receive less credit,Yes,Rarely,Preprints receive less credit,Yes,Rarely,Preprints receive less credit,Preprints receive about the same credit,Case by case- I pay attention to the actual quality of the research,Woman,"Academic, such as universities, colleges, or research institutes","Associate professor, or equivalent         ",Canada,White or Caucasian,Other，please tell us
Somewhat,A little,Somewhat,Not at all,Very,Not at all,A little,Somewhat,Somewhat,Extremely,A little,Extremely,Extremely,1 to 5,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Somewhat,Good,Fair,Very good,Good,Poor,Good,Very good,Fair,Excellent,No,Not at all,Very,Slightly,Not at all,Not at all,Slightly,Slightly,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Extremely,Not at all,Very,Not at all,1 to 5,Slightly,Not at all,Not at all,Extremely,Somewhat,Not at all,Very,Not at all,Slightly,Slightly,Not at all,Somewhat,Very,Not at all,Not at all,Never,Neutral,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Neutral,Yes,Preprints receive less credit ,Preprints should receive less credit,Yes,Very often ,Preprints receive less credit,Yes,Sometimes,Preprints receive no credit,Preprints receive no credit,Case by case- I pay attention to the actual quality of the research,Man,"Academic, such as universities, colleges, or research institutes","Full professor, or equivalent         ",USA,White or Caucasian,Evolutionary Biology
Extremely,Quite a bit,Not at all,A little,Not at all,Somewhat,Somewhat,Somewhat,Very,Somewhat,A little,Somewhat,Not at all,1 to 5,Extremely,Somewhat,Not at all,Not at all,Slightly,Very,Not at all,Not at all,Not at all,Extremely,Very good,Very good,Good,Excellent,Excellent,Very good,Excellent,Fair,Good,Yes,Not at all,Somewhat,Not at all,Not at all,Not at all,Very,Not at all,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,11 to 15,Somewhat,Not at all,Extremely,Not at all,Not at all,Extremely,Somewhat,Not at all,Not at all,Not at all,Extremely,Extremely,Slightly,Not at all,Not at all,Rarely ,Somewhat positive,Neutral,Somewhat positive,Neutral,Very positive,Somewhat positive,Neutral,Yes,Preprints receive about the same credit ,Preprints should receive less credit,Yes,Very often ,Preprints receive less credit,Yes,Rarely,Preprints receive less credit,Preprints receive no credit,Case by case- I pay attention to the actual quality of the research,Woman,"Academic, such as universities, colleges, or research institutes","Full professor, or equivalent         ",USA,White or Caucasian,Neuroscience
A little ,Not at all,Very,A little,Very,Very,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Not at all,Zero,Somewhat,Not at all,Very,Somewhat,Somewhat,Somewhat,Not at all,Slightly,Not at all,Very,Good,Excellent,Very good,Very good,Good,Fair,Very good,Poor,Very good,Yes,Not at all,Extremely,Extremely,Not at all,Not at all,Extremely,Very,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Slightly,Slightly,Somewhat,Slightly,1 to 5,Not at all,Somewhat,Extremely,Not at all,Not at all,Very,Extremely,Not at all,Slightly,Extremely,Not at all,Very,Extremely,Not at all,Not at all,Sometimes,Neutral,Very negative,Neutral,Neutral,Neutral,Neutral,Somewhat negative,No,Case by case,Preprints should receive less credit,Yes,Never,Preprints receive less credit,Yes,Never,Preprints receive less credit,Preprints receive about the same credit,Preprints should receive less credit,Woman,"Academic, such as universities, colleges, or research institutes","Research faculty, or equivalent",Canada,White or Caucasian,Cell Biology
Very,Somewhat,Very,Extremely,Not at all,Somewhat,A little,Very,Not at all,Very,A little,Not at all,Very,1 to 5,Slightly,Somewhat,Very,Not at all,Slightly,Not at all,Not at all,Not at all,Slightly,Extremely,Very good,Good,Good,Good,Good,Good,Very good,Poor,Good,No,Not at all,Very,Not at all,Not at all,Extremely,Not at all,Very,Slightly,Very,Not at all,Somewhat,Not at all,Not at all,Very,Extremely,Somewhat,Very,1 to 5,Slightly,Somewhat,Extremely,Somewhat,Extremely,Somewhat,Slightly,Slightly,Somewhat,Extremely,Slightly,Very,Somewhat,Slightly,Not at all,Never,Neutral,Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Neutral,Very positive,No,Preprints receive less credit ,Case by case,Yes,Never,Preprints receive less credit,Yes,Very often ,Case by case - I pay attention to the actual quality of the research,Preprints receive no credit,Case by case- I pay attention to the actual quality of the research,Woman,"Academic, such as universities, colleges, or research institutes","Full professor, or equivalent         ",Canada,White or Caucasian,Engineering
Somewhat,A little,A little,A little,Very,A little,Not at all,Not at all,Very,A little,Extremely,Not at all,A little,Zero,Somewhat,Slightly,Very,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Extremely,Good,Good,Very good,Good,Fair,Very good,Excellent,Good,Very good,No,Not at all,Very,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Not at all,Very,Not at all,Not at all,Not at all,Somewhat,Extremely,Extremely,Not at all,6 to 10,Somewhat,Slightly,Very,Not at all,Very,Extremely,Very,Not at all,Extremely,Somewhat,Very,Somewhat,Extremely,Slightly,Extremely,Rarely ,Neutral,Somewhat positive,Neutral,Neutral,Somewhat positive,Somewhat positive,Very negative,Yes,Preprints receive less credit ,Case by case,Yes,Never,Preprints receive less credit,Yes,Never,Preprints receive less credit,Preprints receive less credit,Preprints should receive less credit,Man,"Academic, such as universities, colleges, or research institutes","Full professor, or equivalent         ",USA,Asian or Pacific Islander,Plant Biology
Not at all,Quite a bit,Not at all,Somewhat,Somewhat,Somewhat,A little,A little,Extremely,Extremely,A little,Not at all,Not at all,1 to 5,Not at all,Very,Not at all,Slightly,Slightly,Somewhat,Slightly,Not at all,Not at all,Not at all,Good,Very good,Fair,Good,Good,Fair,Good,Poor,Good,Yes,Not at all,Very,Not at all,Not at all,Slightly,Not at all,Somewhat,Not at all,Somewhat,Not at all,Not at all,Not at all,Not at all,Not at all,Extremely,Very,Not at all,Zero,Not at all,Somewhat,Somewhat,Very,Extremely,Very,Not at all,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Extremely,Not at all,Not at all,Sometimes,Neutral,Very positive,Neutral,Very positive,Somewhat negative,Neutral,Neutral,No,Preprints receive less credit ,Case by case,Yes,Rarely,Preprints receive no credit,Yes,Sometimes,Preprints receive less credit,Case by case - I pay attention to the actual quality of the research,Preprints receive no credit,Woman,"Academic, such as universities, colleges, or research institutes","Associate professor, or equivalent         ",USA,White or Caucasian,Neuroscience
Somewhat,A great deal,Very,Somewhat,A little,Very,Not at all,Not at all,Not at all,Very,Very,A little,Extremely,1 to 5,Slightly,Very,Not at all,Not at all,Slightly,Very,Not at all,Not at all,Somewhat,Not at all,Good,Good,Good,Good,Fair,Fair,Good,Very good,Good,No,Not at all,Very,Not at all,Not at all,Not at all,Slightly,Extremely,Somewhat,Slightly,Not at all,Not at all,Not at all,Not at all,Not at all,Somewhat,Very,Extremely,1 to 5,Slightly,Not at all,Extremely,Somewhat,Not at all,Extremely,Extremely,Extremely,Not at all,Not at all,Somewhat,Not at all,Not at all,Slightly,Not at all,Rarely ,Neutral,Very negative,Neutral,Neutral,Somewhat positive,Neutral,Neutral,No,Preprints receive about the same credit ,Case by case,No,Never,Preprints receive no credit,No,Rarely,Preprints receive less credit,Case by case - I pay attention to the actual quality of the research,Preprints should receive less credit,Man,"Academic, such as universities, colleges, or research institutes","Research faculty, or equivalent",USA,White or Caucasian,Social sciences
Somewhat,Quite a bit,Somewhat,Extremely,Very,Not at all,Very,A little,Somewhat,A little,Somewhat,A little,A little,1 to 5,Not at all,Very,Very,Not at all,Slightly,Not at all,Not at all,Not at all,Extremely,Somewhat,Very good,Good,Very good,Fair,Very good,Fair,Good,Very good,Good,Yes,Slightly,Very,Not at all,Not at all,Very,Slightly,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Very,Not at all,Not at all,Somewhat,Not at all,1 to 5,Slightly,Not at all,Extremely,Slightly,Somewhat,Somewhat,Not at all,Very,Extremely,Not at all,Not at all,Not at all,Extremely,Not at all,Somewhat,Never,Neutral,Neutral,Neutral,Somewhat negative,Neutral,Very negative,Neutral,No,Case by case,Preprints should receive less credit,Yes,Rarely,Case by case - You pay attention to the actual quality of the research,Yes,Never,Preprints receive less credit,Preprints receive no credit,Preprints receive no credit,Man,"Academic, such as universities, colleges, or research institutes","Full professor, or equivalent         ",USA,White or Caucasian,Epidemiology
Somewhat,Quite a bit,Somewhat,Extremely,A little,A little,Extremely,Very,Somewhat,Very,Very,Extremely,Not at all,6 to 10,Slightly,Extremely,Very,Somewhat,Somewhat,Not at all,Not at all,Slightly,Not at all,Extremely,Very good,Good,Very good,Poor,Good,Good,Excellent,Fair,Good,Yes,Slightly,Very,Not at all,Slightly,Somewhat,Very,Somewhat,Extremely,Extremely,Not at all,Somewhat,Not at all,Not at all,Not at all,Somewhat,Not at all,Not at all,Zero,Very,Somewhat,Slightly,Slightly,Somewhat,Slightly,Slightly,Not at all,Extremely,Not at all,Not at all,Very,Very,Very,Not at all,Sometimes,Neutral,Very positive,Very positive,Somewhat negative,Somewhat positive,Neutral,Neutral,No,Preprints receive less credit ,Preprints should receive less credit,Yes,Sometimes,Preprints receive less credit,Yes,Very often ,Preprints receive less credit,Preprints receive about the same credit,Case by case- I pay attention to the actual quality of the research,Woman,"Academic, such as universities, colleges, or research institutes","Full professor, or equivalent         ",USA,White or Caucasian,Genetics
